"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"角色无登录权限","116","test_login_fail[test_login_fail_05]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"admin账号密码为空","127","test_login_fail[test_login_fail_02]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"用户被禁用","13","test_login_fail[test_login_fail_06]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"登录成功(llc账号)","10","test_login_success[test_login_success_02]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"登录成功(admin账号)","242","test_login_success[test_login_success_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"admin账号用户名为空","53","test_login_fail[test_login_fail_01]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"用户名不存在","8","test_login_fail[test_login_fail_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"admin账号密码错误","132","test_login_fail[test_login_fail_04]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"登录成功(user账号)","179","test_login_success[test_login_success_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
